o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,184545.9707897029,182505.81179129542,147408.00000000003,121170.5244583042,244345.04843008792,179666.26862304978,,186317.32021127394
5,160831.41230630377,,147408.00000000003,,,125874.12754508946,98320.0,
10,145442.82164650335,,147408.00000000003,,,115933.3884734599,111984.0,
15,133607.06785962544,,147408.00000000003,,,112485.55345247353,118946.62857142856,
20,123862.23717068485,,147408.00000000003,,,106350.7323699334,110246.0,
