o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,1.0,1.0,0.926,0.931,1.0,1.0,1.0,1.0
5,1.0,,0.926,,,1.0,0.775,
10,1.0,,0.926,,,1.0,0.907,
15,0.988,,0.926,,,1.0,0.939,
20,0.951,,0.926,,,1.0,0.956,
