method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,1.0,0.0,0.0,,,,1000
Donor-HCP,5,0.9962896825396826,0.023326728707657368,0.0019226416734953557,753632.4097741909,785886.5140604565,219659.0831411519,1000
Donor-HCP,10,0.9676448412698412,0.0653173419891752,0.005595382241965695,581011.1682571664,634006.7196440547,219194.92949877243,1000
Donor-HCP,15,0.9251944444444444,0.09213456567995014,0.008319235807066672,351920.0313165119,366921.32842386066,94579.49808439313,1000
Donor-HCP,20,0.891984126984127,0.1131999901508214,0.009815724333562542,272666.86782670574,280529.4495564145,52630.647467862196,1000
Donor-HCP,25,0.9330813492063492,0.0913674210512629,0.007901932989440507,374070.9997731724,396784.0580715745,110544.87017670379,1000
Donor-HCP,30,0.9341825396825397,0.09536963437627205,0.007841270447753974,326985.74954172753,355892.3176757327,103659.43435405003,1000
Donor-HCP,35,0.979373015873016,0.05660548059948125,0.004494609176870576,516518.71703310654,516524.7133825808,108657.4436065471,1000
HCP,0,1.0,0.0,0.0,,,,1000
Pooled-Income-Quantile,0,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,5,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,10,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,15,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,20,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,25,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,30,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,35,0.968,0.17608806605504818,0.005565608681896351,176965.0,176965.0,0.0,1000
Pooling,0,0.9003769841269842,0.10992434645163744,0.009470917092941985,243984.1022067103,252657.82881471253,53819.7707694591,1000
Repeated,0,1.0,0.0,0.0,,,,1000
S-HCP,0,1.0,0.0,0.0,,,,1000
S-HCP,5,0.9002440476190476,0.10739472887973106,0.009476534300340053,288697.2200137031,294225.71672195906,55654.05118127423,1000
S-HCP,10,0.8832242063492063,0.11669161564256829,0.010155747518918583,261819.51120908174,265798.5905636951,40383.88275431362,1000
S-HCP,15,0.8789126984126984,0.11633691553463213,0.010316257411561981,249983.29184857255,254203.68978031084,33416.485859121785,1000
S-HCP,20,0.8815734126984127,0.11526623383182577,0.010217716512102243,262305.4891672254,266883.8237868705,33551.30015866642,1000
S-HCP,25,0.9045773809523809,0.10300213221725565,0.009290701955272918,304279.0011545551,308168.4514810921,42334.7563105314,1000
S-HCP,30,0.8898055555555556,0.11242139402269634,0.009902102244373396,273556.75298142247,277496.6918730161,32096.566771722308,1000
S-HCP,35,0.9223789682539683,0.09465080228187522,0.00846144238157498,375207.1247499515,396250.1618084837,96373.76407600201,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.14951785714285712,0.13016649440318084,0.011276624829188266,25395.835841624994,26594.385258931638,9164.677333232448,1000
Std-CP,10,0.09597420634920634,0.1092332861623968,0.009314674340246484,13843.068182164789,14450.005015096567,4776.561161392345,1000
Std-CP,15,0.06719246031746032,0.09136216556424133,0.007916920714137968,9669.75502157597,9909.9436004902,3192.571117880097,1000
Std-CP,20,0.052853174603174596,0.08003182119281657,0.007075289148687913,7279.375053546374,7535.639975742633,2539.33189856628,1000
Std-CP,25,0.046557539682539686,0.07721944460943146,0.006662577217657476,5892.907488256595,6140.710431704373,2084.3174617533214,1000
Std-CP,30,0.03865674603174602,0.07106550612021333,0.00609609727760172,5256.7998907478905,5368.907988419312,1750.2246086528035,1000
Std-CP,35,0.03374404761904762,0.06742411816792125,0.005710112684468764,4481.171415601663,4634.554780259488,1532.976942815705,1000
Subsampling,0,1.0,0.0,0.0,,,,1000
