o,Donor-HCP,HCP,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.994,0.995,0.902,0.991,1.0,1.0,0.974
5,0.978,,,,1.0,0.785,
10,0.973,,,,1.0,0.839,
15,0.958,,,,1.0,0.832,
20,0.934,,,,1.0,0.859,
