method,25,50,75,overall_coverage,mean_width,median_width,prop_infinite,target_coverage,coverage_diff
HCP,0.8667,0.7333,0.8,0.8,2.2538,2.2538,0.0,0.9,-0.09999999999999998
HCP++,1.0,1.0,1.0,1.0,2.5644,2.1395,0.0889,0.9,0.09999999999999998
HCP.sample,0.9333,0.8,0.7333,0.8222,1.6179,1.5154,0.0,0.9,-0.07779999999999998
Pooling,0.8667,0.7333,0.8,0.8,1.9912,1.9912,0.0,0.9,-0.09999999999999998
Repeated,0.8667,0.7333,0.8,0.8,2.2583,2.2538,0.0,0.9,-0.09999999999999998
Subsampling,0.8667,0.8,0.8,0.8222,2.2323,2.2494,0.0,0.9,-0.07779999999999998
