experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
1,0,0.88,0.88,1.0,0.88,1.8208798226450549,1.8208798226450549,inf,1.8208798226450549,0,0,100,0
1,10,0.87,0.87,0.77,0.88,1.795859779628966,1.7882182742869022,4.577341880769342,1.8208798226450549,0,0,0,0
1,20,0.87,0.87,0.86,0.88,1.7823624612333375,1.7708411634008332,2.0298571734849737,1.8208798226450549,0,0,0,0
1,30,0.91,0.91,0.88,0.92,1.7722870470692809,1.7308139654676866,1.703410607631532,1.8208798226450549,0,0,0,0
1,50,0.84,0.81,0.82,0.86,1.707990700541774,1.6687989815655682,1.5752765659435357,1.8208798226450549,0,0,0,0
1,100,0.8,0.8,0.75,0.85,1.5922849676537645,1.5523349045858463,1.3710779110452265,1.8208798226450549,0,0,0,0
2,0,0.81,0.81,1.0,0.81,1.5618806025614909,1.5618806025614909,inf,1.5618806025614909,0,0,100,0
2,10,0.85,0.85,0.77,0.85,1.5529421491962019,1.5283359538048886,4.249209866912534,1.5618806025614909,0,0,0,0
2,20,0.82,0.82,0.75,0.83,1.5283359538048886,1.5015267347653434,1.9170712800958851,1.5618806025614909,0,0,0,0
2,30,0.87,0.83,0.8,0.9,1.5209554021905638,1.4600069175682004,1.6355960945738919,1.5618806025614909,0,0,0,0
2,50,0.76,0.74,0.81,0.77,1.448601881905132,1.4107382392976513,1.5429662616509396,1.5618806025614909,0,0,0,0
2,100,0.7,0.7,0.75,0.81,1.2765730867256195,1.3108964223858508,1.5386009258928108,1.5618806025614909,0,0,0,0
3,0,0.93,0.93,1.0,0.93,1.7177688085979272,1.7177688085979272,inf,1.7177688085979272,0,0,100,0
3,10,0.87,0.87,0.87,0.88,1.6773102619347604,1.678490188215901,5.2290061983919465,1.7177688085979272,0,0,0,0
3,20,0.89,0.88,0.81,0.9,1.636953386564411,1.6276300676477715,1.9022065049849333,1.7177688085979272,0,0,0,0
3,30,0.79,0.79,0.86,0.82,1.6311007622056874,1.6037222453621602,1.7796088323450805,1.7177688085979272,0,0,0,0
3,50,0.89,0.89,0.79,0.92,1.5988880346878145,1.552552470406446,1.4731391161027183,1.7177688085979272,0,0,0,0
3,100,0.83,0.79,0.84,0.86,1.4915754592043702,1.4020610751055984,1.478412365695109,1.7177688085979272,0,0,0,0
4,0,0.85,0.85,1.0,0.85,1.758431618155,1.758431618155,inf,1.758431618155,0,0,100,0
4,10,0.89,0.87,0.9,0.89,1.7520749533195166,1.7084353482587913,4.550093995472297,1.758431618155,0,0,0,0
4,20,0.79,0.79,0.81,0.8,1.69324325085427,1.6660296580473095,1.9908335824648375,1.758431618155,0,0,0,0
4,30,0.86,0.86,0.87,0.89,1.6740618900255226,1.6520196790289488,1.8130004952684473,1.758431618155,0,0,0,0
4,50,0.85,0.83,0.85,0.88,1.6363472361195384,1.5823641636655728,1.6162051941334807,1.758431618155,0,0,0,0
4,100,0.77,0.77,0.79,0.84,1.482667004320691,1.4720163571317237,1.2944843044622936,1.758431618155,0,0,0,0
5,0,0.95,0.95,1.0,0.95,1.8317597730228081,1.8317597730228081,inf,1.8317597730228081,0,0,100,0
5,10,0.84,0.84,0.92,0.84,1.8173556457950943,1.7832218339307078,5.0220688474780015,1.8317597730228081,0,0,0,0
5,20,0.91,0.91,0.8,0.91,1.778303447504845,1.7550345494301192,1.7034754186000893,1.8317597730228081,0,0,0,0
5,30,0.9,0.9,0.78,0.9,1.7550345494301194,1.7337082438599936,1.512514669827722,1.8317597730228081,0,0,0,0
5,50,0.8,0.79,0.76,0.83,1.7335151538357176,1.6896393714781208,1.6227184573659903,1.8317597730228081,0,0,0,0
5,100,0.9,0.89,0.85,0.95,1.5500533495166375,1.5411413068868218,1.4125653083804068,1.8317597730228081,0,0,0,0
6,0,0.85,0.85,1.0,0.85,1.748379092827527,1.748379092827527,inf,1.748379092827527,0,0,100,0
6,10,0.91,0.91,0.82,0.91,1.727480815352068,1.7193763306857635,4.783905072319785,1.748379092827527,0,0,0,0
6,20,0.86,0.86,0.82,0.87,1.7193763306857635,1.6910663099289662,1.8471910279560286,1.748379092827527,0,0,0,0
6,30,0.87,0.87,0.8,0.88,1.7136291533416101,1.671468733534515,1.7365387839758717,1.748379092827527,0,0,0,0
6,50,0.85,0.83,0.85,0.87,1.6843673775572965,1.6150567312825905,1.5731711865849305,1.748379092827527,0,0,0,0
6,100,0.84,0.83,0.9,0.9,1.5194778270606708,1.479103879634458,1.5203191301840588,1.748379092827527,0,0,0,0
7,0,0.86,0.86,1.0,0.86,1.6291750919664962,1.6291750919664962,inf,1.6291750919664962,0,0,100,0
7,10,0.84,0.84,0.9,0.84,1.5971709015014346,1.591744356987431,3.9720821807784574,1.6291750919664962,0,0,0,0
7,20,0.85,0.84,0.83,0.87,1.57204322767616,1.5579717889330524,1.9986514100942818,1.6291750919664962,0,0,0,0
7,30,0.85,0.81,0.8,0.86,1.5579717889330522,1.5108163617429913,1.6158459906176188,1.6291750919664962,0,0,0,0
7,50,0.84,0.83,0.86,0.87,1.5190595072788906,1.4484659719462454,1.515293923191975,1.6291750919664962,0,0,0,0
7,100,0.86,0.86,0.8,0.9,1.3594188171126054,1.3269074432734511,1.2765658735934926,1.6291750919664962,0,0,0,0
8,0,0.92,0.92,1.0,0.92,1.579375171208213,1.579375171208213,inf,1.579375171208213,0,0,100,0
8,10,0.82,0.82,0.82,0.83,1.537918174568805,1.5295810601947664,4.946265755270398,1.579375171208213,0,0,0,0
8,20,0.84,0.84,0.84,0.84,1.5217219159598665,1.516233052255632,2.1167359435337447,1.579375171208213,0,0,0,0
8,30,0.8,0.8,0.77,0.82,1.5148768730348803,1.4882181655922855,1.755998814692672,1.579375171208213,0,0,0,0
8,50,0.76,0.76,0.77,0.82,1.4256495069096444,1.4141459073824323,1.4518270949664571,1.579375171208213,0,0,0,0
8,100,0.77,0.77,0.81,0.9,1.2883506532381968,1.3191458452434364,1.5220486235500046,1.579375171208213,0,0,0,0
9,0,0.92,0.92,1.0,0.92,1.6567447784615474,1.6567447784615474,inf,1.6567447784615474,0,0,100,0
9,10,0.87,0.86,0.88,0.87,1.638618598551627,1.6255865770513185,4.797506636613592,1.6567447784615474,0,0,0,0
9,20,0.86,0.86,0.89,0.86,1.598022150609218,1.5937679610926305,1.753234834822989,1.6567447784615474,0,0,0,0
9,30,0.85,0.85,0.78,0.87,1.5515403467983244,1.5474841771704475,1.7051344437040845,1.6567447784615474,0,0,0,0
9,50,0.8,0.77,0.72,0.88,1.5240639456637495,1.489165566024836,1.5473806940532362,1.6567447784615474,0,0,0,0
9,100,0.83,0.83,0.86,0.9,1.3896518166289737,1.363897100735667,1.4594620242672263,1.6567447784615474,0,0,0,0
10,0,0.92,0.92,1.0,0.92,1.7649489124754756,1.7649489124754756,inf,1.7649489124754756,0,0,100,0
10,10,0.89,0.88,0.82,0.89,1.759968478550452,1.730740651550879,4.6927246528875,1.7649489124754756,0,0,0,0
