alpha,experiment,o,method,coverage,width,n_infinite,n_total,proportion_infinite
0.2,1,20,dhcp_without,0.81,17.525066094896005,0,1,0.0
0.2,1,20,hcp,0.88,23.576433850625918,0,1,0.0
0.2,1,20,pool,0.79,19.31183907835773,0,1,0.0
0.2,1,20,rep,0.85,22.79975023232514,0,1,0.0
0.2,1,20,stdcp,0.76,4.23495364795684,0,1,0.0
0.2,1,20,sub,0.89,24.040035822803915,0,1,0.0
0.2,1,25,dhcp_with,0.81,11.414167066847114,0,1,0.0
0.2,1,25,dhcp_without,0.81,11.414167066847114,0,1,0.0
0.2,1,25,hcp,0.88,23.576433850625918,0,1,0.0
0.2,1,25,pool,0.79,19.31183907835773,0,1,0.0
0.2,1,25,rep,0.85,22.79975023232514,0,1,0.0
0.2,1,25,stdcp,0.83,4.498106260719808,0,1,0.0
0.2,1,25,sub,0.89,24.040035822803915,0,1,0.0
0.2,1,30,dhcp_with,0.78,11.352236258278921,0,1,0.0
0.2,1,30,dhcp_without,0.78,11.352236258278921,0,1,0.0
0.2,1,30,hcp,0.88,23.576433850625918,0,1,0.0
0.2,1,30,pool,0.79,19.31183907835773,0,1,0.0
0.2,1,30,rep,0.85,22.79975023232514,0,1,0.0
0.2,1,30,stdcp,0.76,3.8371403647178544,0,1,0.0
0.2,1,30,sub,0.89,24.040035822803915,0,1,0.0
0.2,1,35,dhcp_with,0.82,11.584481654361905,0,1,0.0
0.2,1,35,dhcp_without,0.82,11.584481654361905,0,1,0.0
0.2,1,35,hcp,0.88,23.576433850625918,0,1,0.0
0.2,1,35,pool,0.79,19.31183907835773,0,1,0.0
0.2,1,35,rep,0.85,22.79975023232514,0,1,0.0
0.2,1,35,stdcp,0.86,3.678634888760727,0,1,0.0
0.2,1,35,sub,0.89,24.040035822803915,0,1,0.0
0.2,2,0,dhcp_with,0.96,42.72873769743152,0,1,0.0
0.2,2,0,dhcp_without,0.96,42.72873769743152,0,1,0.0
0.2,2,0,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,0,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,0,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,0,stdcp,1.0,inf,1,1,1.0
0.2,2,0,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,5,dhcp_with,0.96,42.31192814922382,0,1,0.0
0.2,2,5,dhcp_without,0.96,42.31192814922382,0,1,0.0
0.2,2,5,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,5,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,5,rep,0.95,42.31045765147624,0,1,0.0
