alpha,dataset_id,o,mean_width,sd_upper,sd_width,rel_sd_upper,rel_sd_width
0.2,3,0,25.74995210833258,10.799688815799366,10.268270118550756,0.41940617094602795,0.39876851325202994
0.2,3,5,23.093677987141014,7.890048905353888,6.147531255542457,0.3416540626290543,0.2661997477822942
0.2,3,10,21.303645559704538,8.09294219155498,6.1436746288024535,0.3798853191053195,0.2883860704302696
0.2,3,15,20.87802541463229,8.639171981097517,6.145329681522996,0.41379257901672944,0.29434439126681317
0.2,3,20,19.351291321018547,6.147137562506905,6.030539790901419,0.3176603287363126,0.31163500620505385
0.2,3,25,4.438480572843459,3.570611593983174e-15,8.926528984957934e-16,8.044670998065683e-16,2.0111677495164208e-16
0.2,3,30,5.312171723986066,3.570611593983174e-15,2.6779586954873804e-15,6.721566582384337e-16,5.041174936788254e-16
0.2,3,35,6.062648913944519,0.0,1.785305796991587e-15,0.0,2.944761971759997e-16
0.2,2,0,19.89934988060593,7.3657215489847685,7.042580089166107,0.3701488537654922,0.35391005894267247
0.2,2,5,17.259958046504075,5.393112229797847,4.478013432287071,0.31246380873389185,0.25944520955507605
0.2,2,10,16.000988167272954,5.456173430165336,3.783700460577962,0.34098977970153893,0.2364666744968175
0.2,2,15,14.042272556453417,5.055303784422371,3.466929770093102,0.36000610044412656,0.2468923570707793
0.2,2,20,13.534699265041972,4.880197786111168,3.218832669174102,0.36056935514747357,0.23782077504210583
0.2,2,25,3.871305792806122,0.0,4.463264492478967e-16,0.0,1.1529093105413826e-16
0.2,2,30,5.570742200226404,1.785305796991587e-15,8.926528984957934e-16,3.20478983378378e-16,1.60239491689189e-16
0.2,2,35,6.973770931315562,5.355917390974761e-15,0.0,7.680087923341637e-16,0.0
0.2,1,0,23.73713310791688,6.3884088740303975,9.78904311576342,0.2691314424950381,0.4123936564394354
0.2,1,5,21.309382136314188,6.645092218444703,8.706595041934605,0.31183880301815653,0.4085803608119328
0.2,1,10,18.192326957206834,6.4700945441314195,7.874608879706006,0.3556496406067675,0.43285330668414046
0.2,1,15,16.775330510981124,3.932598196538105,5.870565887968052,0.23442746442246415,0.34995232339089727
0.2,1,20,14.502687934459182,4.673999077555095,5.097494414031588,0.32228502045123764,0.35148618222141165
0.2,1,25,2.3651457178425073,0.0,0.0,0.0,0.0
0.2,1,30,2.1649740914843547,1.6737241846796128e-16,0.0,7.73092015864296e-17,0.0
0.2,1,35,2.2885275550238258,2.2316322462394835e-16,4.463264492478967e-16,9.751389015791204e-17,1.9502778031582408e-16
0.2,0,0,28.96221028026444,11.040790613300164,8.299423174961438,0.3812136748700989,0.2865604211366723
0.2,0,5,24.35908085103287,6.973620143579278,5.249733943830317,0.2862842069545322,0.21551445130195535
0.2,0,10,24.451666110002826,8.453071767769202,7.097473303674943,0.34570534906458467,0.29026542697519775
0.2,0,15,21.473963024358557,6.640993768241167,5.854125373270481,0.30925794929925554,0.27261504393157293
0.2,0,20,19.011755368518585,5.661297695102991,4.535095601822231,0.2977787997670899,0.23854165561860005
0.2,0,25,7.001404423468117,7.141223187966347e-15,2.6779586954873804e-15,1.0199701025739305e-15,3.82488788465224e-16
0.2,0,30,7.083511952242427,0.0,1.785305796991587e-15,0.0,2.5203681578124715e-16
