test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
AL,25,2,HCP++,1,2.2672457787454228,0,10.585375049888656,12.852620828634079,12.100717685412471,11.718997939261367,25,788,6
AL,25,2,HCP.sample,1,1.9552379192783285,0,10.729739257402684,12.684977176681013,12.100717685412471,11.718997939261367,25,788,6
AL,25,2,HCP,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Pooling,1,1.9912474819854324,0,10.713091352170945,12.704338834156378,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Subsampling,1,2.7909171180250922,0,10.313256534151115,13.104173652176208,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Repeated,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,6
AL,50,3,HCP++,1,3.8471480840823666,0,8.627927707260506,12.475075791342872,11.225256725762893,10.55150174930169,25,788,6
AL,50,3,HCP.sample,1,2.778131907969602,0,10.551735857606419,13.32986776557602,11.225256725762893,10.55150174930169,25,788,6
AL,50,3,HCP,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Pooling,1,1.9912474819854324,0,10.525039305393294,12.516286787378727,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Subsampling,1,2.4916480210187366,0,10.274839035876642,12.766487056895379,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Repeated,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,6
AL,75,4,HCP++,1,3.9525808248331913,0,8.872530030641128,12.82511085547432,10.596659732783579,10.848820443057724,25,788,6
AL,75,4,HCP.sample,0,2.778131907969602,0,10.857408163748001,13.635540071717603,10.596659732783579,10.848820443057724,25,788,6
AL,75,4,HCP,0,2.2537646510347678,0,10.712102170487801,12.96586682152257,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Pooling,0,1.9912474819854324,0,10.843360755012469,12.834608236997902,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Subsampling,0,2.0985632228377433,0,10.789702884586314,12.888266107424057,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Repeated,0,2.2537646510347678,0,10.712102170487801,12.96586682152257,10.596659732783579,11.838984496005185,25,788,6
FL,25,30,HCP++,1,1.9268296904017745,0,9.823567560636581,11.750397251038356,9.952325334619427,10.786982405837469,25,788,118
FL,25,30,HCP.sample,0,1.4905892895125206,0,10.04771234714404,11.538301636656561,9.952325334619427,10.786982405837469,25,788,118
FL,25,30,HCP,0,2.2537646510347678,0,10.206353155930616,12.460117806965384,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Pooling,0,1.9912474819854324,0,10.337611740455284,12.328859222440716,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Subsampling,0,2.243684923298453,0,10.211393019798773,12.455077943097226,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Repeated,0,2.2537646510347678,0,10.206353155930616,12.460117806965384,9.952325334619427,11.333235481448,25,788,118
FL,50,59,HCP++,1,,1,-inf,inf,12.429220196836383,11.770603668649414,25,788,118
FL,50,59,HCP.sample,1,1.7937226422622388,0,11.127316065860109,12.921038708122348,12.429220196836383,11.770603668649414,25,788,118
FL,50,59,HCP,1,2.2537646510347678,0,11.00235180357282,13.256116454607588,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Pooling,1,1.9912474819854324,0,11.133610388097487,13.12485787008292,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Subsampling,1,2.0985632228377433,0,11.079952517671332,13.178515740509075,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Repeated,1,2.2537646510347678,0,11.00235180357282,13.256116454607588,12.429220196836383,12.129234129090204,25,788,118
FL,75,88,HCP++,1,,1,-inf,inf,12.206077645517674,11.419916301657537,25,788,118
FL,75,88,HCP.sample,1,1.505779482235063,0,10.873041647641879,12.378821129876941,12.206077645517674,11.419916301657537,25,788,118
FL,75,88,HCP,1,2.2537646510347678,0,10.536740685447958,12.790505336482726,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Pooling,1,1.9912474819854324,0,10.667999269972626,12.659246751958058,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Subsampling,1,2.0985632228377433,0,10.61434139954647,12.712904622384213,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Repeated,1,2.290091006530517,0,10.518577507700083,12.8086685142306,12.206077645517674,11.663623010965342,25,788,118
GA,25,10,HCP++,1,2.2150370625721045,0,9.367423835511012,11.582460898083117,10.596659732783579,10.474942366797064,25,788,40
GA,25,10,HCP.sample,1,1.3735108176638882,0,9.444951315182998,10.818462132846886,10.596659732783579,10.474942366797064,25,788,40
GA,25,10,HCP,1,2.2537646510347678,0,10.299744218119988,12.553508869154756,10.596659732783579,11.426626543637372,25,788,40
GA,25,10,Pooling,1,1.9912474819854324,0,10.431002802644656,12.422250284630088,10.596659732783579,11.426626543637372,25,788,40
GA,25,10,Subsampling,1,2.076329157980826,0,10.38846196464696,12.464791122627785,10.596659732783579,11.426626543637372,25,788,40
GA,25,10,Repeated,1,2.2537646510347678,0,10.299744218119988,12.553508869154756,10.596659732783579,11.426626543637372,25,788,40
GA,50,20,HCP++,1,2.378920561377683,0,9.843298546873726,12.222219108251409,11.141876276228,11.032758827562567,25,788,40
