o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,221140.48328066393,209904.95168844805,132000.0,139182.03386042392,243481.48764774937,263130.1291912074,,238209.9662437674
5,183898.6451257859,,132000.0,,,143187.18388305698,98997027900597.83,
10,168922.8657535527,,132000.0,,,146613.84984115028,8857324544.83756,
15,157164.47265612154,,132000.0,,,140725.31262832106,1.6300556386966062e+23,
20,144818.7617499588,,132000.0,,,142279.24573679152,2.957463142029707e+23,
