o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,,,176965.0,243984.1022067103,,,,
5,753632.4097741909,,176965.0,,,288697.2200137031,25395.835841624994,
10,581011.1682571664,,176965.0,,,261819.51120908174,13843.068182164789,
15,351920.0313165119,,176965.0,,,249983.29184857255,9669.75502157597,
20,272666.86782670574,,176965.0,,,262305.4891672254,7279.375053546374,
25,374070.9997731724,,176965.0,,,304279.0011545551,5892.907488256595,
30,326985.74954172753,,176965.0,,,273556.75298142247,5256.7998907478905,
35,516518.71703310654,,176965.0,,,375207.1247499515,4481.171415601663,
