o,tau,cov_re,cov_std,med_w_re,med_w_std,mean_w_re,mean_w_std,inf_re,inf_std,re_w_g,re_w_loc,std_w_g,std_w_loc,sigma2,tau_B2,n_train,n_cal,width_ratio_re_over_std
0,0,0.959,0.959,32.92147589474497,32.92147589474497,33.753536575639764,33.753536575639764,0.0,0.0,1.0,0.0,1.0,0.0,,,9.0,10.0,1.0
5,2,0.96,0.961,7.844282066078851,26.613301325375964,7.912065028435938,27.18823490533747,0.0,0.0,0.022390565360079724,0.9776094346399202,0.8181818181818182,0.1818181818181817,2.1273454095998803,60.61949817165931,9.0,10.0,0.29475043213069074
10,5,0.948,0.957,6.431367477999663,20.30232350348713,6.449686292189467,20.937150497766705,0.0,0.0,0.009133688157022563,0.9908663118429774,0.6428571428571429,0.35714285714285704,2.1273454095998803,60.61949817165931,9.0,10.0,0.31677987383537703
15,7,0.929,0.94,5.6137315989736845,16.83081032550964,5.611403619160431,17.341503710456752,0.0,0.0,0.006549099810740389,0.9934509001892595,0.5625,0.4375,2.1273454095998803,60.61949817165931,9.0,10.0,0.33353899725583774
20,10,0.886,0.922,4.888270102069814,13.339731265652238,4.911969022823896,13.531435395687625,0.0,0.0,0.004597653554936116,0.995402346445064,0.4736842105263158,0.5263157894736842,2.1273454095998803,60.61949817165931,9.0,10.0,0.3664444211598445
