puma,n_individuals_after_filter,income_mean,income_median,income_std,y_mean,y_std,age_mean,hours_mean,entry_recency_mean
101,31,50464.51612903226,45800.0,27443.5001216086,10.684361141809921,0.5613172569712155,29.419354838709676,46.354838709677416,2.129032258064516
102,30,51202.0,44750.0,32536.469659922146,10.646818669833321,0.6647567245141897,35.766666666666666,44.9,3.966666666666667
105,30,53099.666666666664,41000.0,36468.22825829151,10.657206053190144,0.6852466794879736,37.833333333333336,41.0,2.966666666666667
106,24,61100.416666666664,46505.0,41091.233644507876,10.784164596192582,0.728887850380899,40.5,41.666666666666664,4.25
107,28,47193.57142857143,43510.0,27919.701422350983,10.578139719952045,0.6553114890420845,35.642857142857146,40.535714285714285,4.0
108,52,70829.61538461539,72000.0,40392.82512300666,10.956729514531352,0.7187980159861296,34.44230769230769,41.34615384615385,3.480769230769231
109,73,80314.52054794521,93000.0,37866.85281061554,11.11962976006453,0.6807220464403523,34.12328767123287,41.19178082191781,3.6027397260273974
110,31,77341.29032258065,84800.0,36500.14271587948,11.072024833185562,0.719754495042961,37.354838709677416,40.16129032258065,3.064516129032258
3714,25,43688.0,33000.0,25870.90257412756,10.542426686862775,0.5360891288601874,35.84,40.2,3.04
3717,34,50752.94117647059,40000.0,31393.04338393342,10.648407571007237,0.6333375589804872,38.088235294117645,42.5,3.6470588235294117
3719,37,47524.86486486487,35000.0,32673.261036921103,10.549534780229493,0.6732146513230474,38.7027027027027,42.24324324324324,3.3513513513513513
3722,24,48583.333333333336,30500.0,37993.00469556339,10.529543203261179,0.7348913676011546,32.958333333333336,44.291666666666664,3.3333333333333335
3724,21,52921.42857142857,40000.0,34620.126268648164,10.663512085818475,0.6901824589960484,37.095238095238095,43.76190476190476,3.4761904761904763
3725,29,43434.48275862069,30000.0,27253.483078342073,10.469553595355556,0.6760314169027284,34.44827586206897,41.172413793103445,3.586206896551724
3729,37,56297.2972972973,50000.0,36052.48093240438,10.705228624115492,0.7380332881046525,32.108108108108105,45.729729729729726,2.5945945945945947
3730,24,54315.416666666664,52500.0,27070.927126181225,10.752251857276818,0.6063870797437536,35.833333333333336,41.875,2.5833333333333335
3732,25,40672.0,30000.0,25856.857891089552,10.42063234632787,0.6435966522822483,39.44,45.6,2.68
3733,28,33039.28571428572,27500.0,16011.624001787051,10.305127626312323,0.4459747958339341,35.857142857142854,40.214285714285715,3.142857142857143
3734,35,33137.142857142855,28000.0,19808.778293448377,10.232961100859079,0.6116636668938035,32.34285714285714,43.65714285714286,3.085714285714286
3736,35,47223.142857142855,35000.0,32356.478283193246,10.54528760813814,0.6770232769891743,37.02857142857143,40.885714285714286,3.6285714285714286
3737,27,37529.62962962963,31700.0,25376.03070759756,10.336493104932854,0.6334138340028497,40.370370370370374,42.592592592592595,3.0
3742,28,33660.71428571428,24500.0,26991.11430309522,10.22112648727202,0.5980957338681654,42.32142857142857,41.25,2.1785714285714284
3744,26,44326.92307692308,38000.0,32298.848991161376,10.491612167886105,0.6442722789999263,30.307692307692307,43.34615384615385,3.9615384615384617
3745,26,26638.46153846154,20750.0,24884.229173081927,9.993456516247322,0.558939645231137,34.26923076923077,43.61538461538461,3.6538461538461537
3746,26,33934.61538461538,30000.0,18498.69059815191,10.308019856631578,0.5091476681459706,29.692307692307693,44.03846153846154,3.230769230769231
3758,35,33955.142857142855,25700.0,21388.306641910745,10.273413773879298,0.558830415491331,36.0,43.142857142857146,3.5142857142857142
3761,26,71730.76923076923,67500.0,37322.977043432846,11.001624079351275,0.6818399766550926,38.61538461538461,41.46153846153846,3.076923076923077
3767,22,37253.181818181816,29585.0,30175.211110850836,10.309412555967443,0.6399858959953253,41.68181818181818,43.77272727272727,3.5
5302,27,23611.11111111111,20000.0,11847.178610354493,9.98023032087264,0.4078054724294667,32.333333333333336,48.48148148148148,2.2962962962962963
5903,23,70661.73913043478,70000.0,40936.032433339205,10.956113826108226,0.7108920790230433,39.0,41.95652173913044,2.869565217391304
5904,54,73554.44444444444,70000.0,38424.62440943684,11.025157557108404,0.678180050432198,34.81481481481482,42.22222222222222,2.8518518518518516
5905,27,44585.18518518518,37000.0,23683.679932744722,10.555915019862995,0.5766062307920818,39.18518518518518,43.111111111111114,3.4444444444444446
5907,20,44170.5,27500.0,40971.25994940972,10.38927889825844,0.7577177245403222,41.55,43.8,3.6
5912,25,30988.0,24000.0,19569.41320871255,10.16483698329255,0.5997881053650576,36.76,42.2,3.0
5913,20,32125.0,30000.0,18178.09193275767,10.244763660608209,0.5189278179184904,42.1,40.5,3.95
7311,24,54583.333333333336,38000.0,38520.369164634314,10.669626502040165,0.7157260726688855,38.833333333333336,42.791666666666664,2.6666666666666665
7312,37,61206.21621621621,52000.0,33977.21314444525,10.84075175618877,0.6552036250768373,33.7027027027027,44.21621621621622,3.2162162162162162
7322,21,43090.47619047619,39000.0,26509.958596005104,10.508663996350855,0.5864925942190908,41.95238095238095,42.857142857142854,3.6666666666666665
7503,24,67825.83333333333,47500.0,45356.79441137086,10.910303767655249,0.6691120938280817,33.541666666666664,43.958333333333336,2.75
7702,27,30462.962962962964,25000.0,16965.987426163243,10.210737473286445,0.4625117594834315,39.111111111111114,42.96296296296296,2.925925925925926
7703,24,41533.75,37000.0,20203.87690142231,10.502338461388845,0.5535595094730051,37.833333333333336,41.916666666666664,3.125
