dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,D-HCP,35,0.2,0.8,0.838,0.011651437679531227,0.3686351745179669,1000.0
fixedN21,D-HCP,35,0.175,0.825,0.838,0.011651437679531227,0.3686351745179669,1000.0
fixedN21,D-HCP,35,0.15,0.85,0.882,0.01020176455325254,0.3227695465501356,1000.0
fixedN21,D-HCP,35,0.125,0.875,0.882,0.01020176455325254,0.3227695465501356,1000.0
fixedN21,D-HCP,35,0.1,0.9,0.951,0.006826346021115546,0.21597603025716916,1000.0
fixedN21,D-HCP,35,0.075,0.925,0.938,0.00762600813007697,0.24127621974453717,1000.0
fixedN21,D-HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP no within,0,0.25,0.75,0.81,0.012405643876881197,0.3924972026066607,1000.0
fixedN21,D-HCP no within,0,0.225,0.775,0.839,0.011622349160131098,0.3677148544921924,1000.0
fixedN21,D-HCP no within,0,0.2,0.8,0.852,0.011229247525992114,0.3552776691859794,1000.0
fixedN21,D-HCP no within,0,0.175,0.825,0.89,0.009894442884771228,0.3130463192532345,1000.0
fixedN21,D-HCP no within,0,0.15,0.85,0.908,0.009139803061335619,0.28917057184232914,1000.0
fixedN21,D-HCP no within,0,0.125,0.875,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,D-HCP no within,0,0.1,0.9,0.965,0.005811626278418119,0.1838717183495298,1000.0
fixedN21,D-HCP no within,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,D-HCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP no within,5,0.25,0.75,0.798,0.01269629867323544,0.4016931134054421,1000.0
fixedN21,D-HCP no within,5,0.225,0.775,0.828,0.011933817494833748,0.3775692765024169,1000.0
fixedN21,D-HCP no within,5,0.2,0.8,0.847,0.011383804285035824,0.3601676286407771,1000.0
fixedN21,D-HCP no within,5,0.175,0.825,0.871,0.010599952830083727,0.33536766610910995,1000.0
fixedN21,D-HCP no within,5,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
fixedN21,D-HCP no within,5,0.125,0.875,0.917,0.008724161850859943,0.27602026589942125,1000.0
fixedN21,D-HCP no within,5,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
fixedN21,D-HCP no within,5,0.075,0.925,0.981,0.004317290817167639,0.13659303663678346,1000.0
fixedN21,D-HCP no within,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP no within,10,0.25,0.75,0.787,0.012947239087929132,0.40963251677424095,1000.0
fixedN21,D-HCP no within,10,0.225,0.775,0.812,0.01235540367612487,0.3909076729981247,1000.0
fixedN21,D-HCP no within,10,0.2,0.8,0.841,0.011563693181678596,0.3658590614606298,1000.0
fixedN21,D-HCP no within,10,0.175,0.825,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,D-HCP no within,10,0.15,0.85,0.883,0.010164201887015036,0.3215811163834319,1000.0
fixedN21,D-HCP no within,10,0.125,0.875,0.907,0.009184280047995052,0.290577761426155,1000.0
fixedN21,D-HCP no within,10,0.1,0.9,0.941,0.007451107300260817,0.2357426023750789,1000.0
fixedN21,D-HCP no within,10,0.075,0.925,0.954,0.006624499981130654,0.20958990416508122,1000.0
fixedN21,D-HCP no within,10,0.05,0.95,0.996,0.0019959959919799443,0.06315051850925683,1000.0
fixedN21,D-HCP no within,15,0.25,0.75,0.77,0.013307892395116514,0.42104308244795724,1000.0
fixedN21,D-HCP no within,15,0.225,0.775,0.799,0.01267276607532862,0.40094857495663927,1000.0
fixedN21,D-HCP no within,15,0.2,0.8,0.824,0.012042591083317579,0.3810107205436209,1000.0
fixedN21,D-HCP no within,15,0.175,0.825,0.852,0.011229247525992114,0.3552776691859794,1000.0
fixedN21,D-HCP no within,15,0.15,0.85,0.871,0.010599952830083727,0.33536766610910995,1000.0
fixedN21,D-HCP no within,15,0.125,0.875,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,D-HCP no within,15,0.1,0.9,0.928,0.00817410545564467,0.2586172517116422,1000.0
fixedN21,D-HCP no within,15,0.075,0.925,0.937,0.007683163410991592,0.2430845328071905,1000.0
fixedN21,D-HCP no within,15,0.05,0.95,0.979,0.00453420334788814,0.1434558454005259,1000.0
fixedN21,D-HCP no within,20,0.25,0.75,0.76,0.013505554412907307,0.4272968319360472,1000.0
fixedN21,D-HCP no within,20,0.225,0.775,0.782,0.013056645817360598,0.4130939925085412,1000.0
fixedN21,D-HCP no within,20,0.2,0.8,0.813,0.012330085157856779,0.3901066305296324,1000.0
fixedN21,D-HCP no within,20,0.175,0.825,0.84,0.011593101396951551,0.366789496216201,1000.0
fixedN21,D-HCP no within,20,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
fixedN21,D-HCP no within,20,0.125,0.875,0.884,0.010126401137620413,0.3203851535989873,1000.0
fixedN21,D-HCP no within,20,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
fixedN21,D-HCP no within,20,0.075,0.925,0.933,0.007906389820898028,0.2501471038680511,1000.0
fixedN21,D-HCP no within,20,0.05,0.95,0.965,0.005811626278418119,0.1838717183495298,1000.0
fixedN21,D-HCP no within,25,0.25,0.75,0.774,0.013225883713385657,0.41844844258175834,1000.0
fixedN21,D-HCP no within,25,0.225,0.775,0.807,0.012480024038438387,0.394850486775573,1000.0
fixedN21,D-HCP no within,25,0.2,0.8,0.807,0.012480024038438387,0.394850486775573,1000.0
fixedN21,D-HCP no within,25,0.175,0.825,0.839,0.011622349160131098,0.3677148544921924,1000.0
fixedN21,D-HCP no within,25,0.15,0.85,0.883,0.010164201887015036,0.3215811163834319,1000.0
