method,0,25,50,75,width_0,width_25,width_50,width_75,overall_coverage,overall_mean_width,overall_median_width,prop_infinite,target_coverage,coverage_diff
HCP,0.9333,0.8,0.9333,1.0,56.8587,56.8587,56.8587,56.8587,0.9167,56.8587,56.8587,0.0,0.8,0.11669999999999991
HCP++,0.9333,0.8,0.8,0.7333,50.6854,49.88,52.4389,49.455,0.8167,50.6148,48.0131,0.0,0.8,0.016699999999999937
HCP.sample,0.9333,0.7333,0.8,0.8,48.1447,49.3822,48.8904,48.3122,0.8167,48.6824,46.6615,0.0,0.8,0.016699999999999937
Pooling,0.8667,0.6,0.6,0.8,45.5129,45.5129,45.5129,45.5129,0.7167,45.5129,45.5129,0.0,0.8,-0.08330000000000004
Repeated,0.9333,0.8,0.9333,1.0,56.4704,57.5769,57.311,57.1623,0.9167,57.1302,56.8587,0.0,0.8,0.11669999999999991
Subsampling,0.9333,0.7333,0.9333,1.0,61.301,62.6149,62.132,68.1349,0.9,63.5457,60.7247,0.0,0.8,0.09999999999999998
