row_type,method,variant_description,o,nominal_coverage,coverage_mean,coverage_std,coverage_median,lower_income_endpoint,upper_income_endpoint,endpoint_type,width_income_mean,width_income_std,width_income_median,n_replicates,coverage_note,width_source,endpoint_note
stratified_method,D-HCP,ACS stratified D-HCP randomized,0,0.8,0.8748,0.063476,0.88,,,varies_by_replicate_target_and_covariates,220243.815046,40864.953148,213839.495318,100.0,,real_data/acs/results/stratified/acs_stratified_summary_long.csv,Single lower/upper endpoints are not well-defined; stratified raw endpoints are unavailable in the current results folder.
stratified_method,D-HCP,ACS stratified D-HCP randomized,5,0.8,0.8464,0.076005,0.84,,,varies_by_replicate_target_and_covariates,187720.081994,30086.449267,184379.946978,100.0,,real_data/acs/results/stratified/acs_stratified_summary_long.csv,Single lower/upper endpoints are not well-defined; stratified raw endpoints are unavailable in the current results folder.
stratified_method,D-HCP,ACS stratified D-HCP randomized,10,0.8,0.8388,0.074661,0.84,,,varies_by_replicate_target_and_covariates,158356.859549,20879.591201,157820.387427,100.0,,real_data/acs/results/stratified/acs_stratified_summary_long.csv,Single lower/upper endpoints are not well-defined; stratified raw endpoints are unavailable in the current results folder.
stratified_method,D-HCP,ACS stratified D-HCP randomized,20,0.8,0.8244,0.073448,0.84,,,varies_by_replicate_target_and_covariates,145015.388651,17029.330837,144408.557907,100.0,,real_data/acs/results/stratified/acs_stratified_summary_long.csv,Single lower/upper endpoints are not well-defined; stratified raw endpoints are unavailable in the current results folder.
stratified_method,HCP,ACS stratified HCP baseline (reported at o=0),0,0.8,0.8768,0.05789,0.88,,,varies_by_replicate_target_and_covariates,224072.304108,42333.621184,216410.738881,100.0,,real_data/acs/results/stratified/acs_stratified_summary_long.csv,Single lower/upper endpoints are not well-defined; HCP intervals vary with the fitted model and target covariates.
pooled_width_only,Pooled income quantile,"No learning, no CP: stored empirical alpha/2 and 1-alpha/2 income quantiles",global,0.8,,,,18000.0,150000.0,global_fixed_interval,132000.0,,132000.0,1000.0,coverage exists in true-marginal summary but omitted from stratified comparison,real_data/acs/results/true_marginal_permuted_alpha20/summaries/acs_true_marg_summary_long.csv,This is a single global income interval; it is contained in the pooled mean CP interval.
pooled_width_only,Pooled mean CP,No learning CP: global mean of log-income with pooled absolute-residual split conformal radius,global,0.8,,,,17819.51782461596,150000.00000000006,global_fixed_interval,132180.4821753841,,132180.4821753841,,not evaluated as a stored experiment; recomputed using the true-marginal ACS filters,real_data/acs/data/acs_data_all50states.csv filtered as in acs_true_marginal_experiments.py,This is a single global income interval; it extends about $180 lower than the pooled income quantile interval.
pooled_width_only,Pooled covariate CP,Learns with covariates but ignores group structure: stored true-marginal Pooling baseline,global,0.8,,,,,,varies_by_replicate_target_and_covariates,144192.91402340416,66488.39475055008,142781.09476477577,1000.0,coverage exists in true-marginal summary but omitted from stratified comparison,real_data/acs/results/true_marginal_permuted_alpha20/summaries/acs_true_marg_summary_long.csv,Single lower/upper endpoints are not well-defined because the interval depends on covariates.
