o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,138509.4631558612,137942.5242781789,135000.0,100491.290008203,127022.24683875244,117318.6239142044,,117081.76253339896
5,124050.33125765865,,135000.0,,,103219.93199845881,96163.8,
10,114856.86488440869,,135000.0,,,93920.21283861551,98683.2,
15,108142.13521481349,,135000.0,,,95504.9463129731,99178.85714285716,
20,102583.90831655884,,135000.0,,,91296.61470503511,92989.2,
