o,Donor-HCP,HCP,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,262166.49614028883,250653.67124749554,157171.83874542854,259766.07190361302,inf,inf,242762.8498880699
5,226169.53406682226,,,,inf,115033.6471008916,
10,211927.04213318057,,,,inf,133470.60157899454,
15,190132.9864890019,,,,inf,125662.77130654204,
20,175333.4424792966,,,,inf,145334.76292444958,
