o,Donor-HCP,HCP,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.956,0.944,0.835,0.955,1.0,1.0,0.889
5,0.933,,,,1.0,0.785,
10,0.922,,,,1.0,0.704,
15,0.879,,,,1.0,0.766,
20,0.857,,,,1.0,0.839,
