dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.075,D-HCP no within,5,0.925,0.986,0.11754921445002436,0.0037153734670958734,1000.0,12.44990085497756,2.8011431848595563,0.0885799251641428,11.841718921019947,10.501364760678358,13.752335326174979,7.529539534768027,31.370450322000984,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP no within,10,0.925,0.965,0.1838717183495298,0.005811626278418119,1000.0,10.492021940612872,2.5994527771605855,0.08220191445877573,9.898313548801855,8.748950675548798,11.664145385968395,6.12514885546503,27.64488751384922,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP no within,15,0.925,0.951,0.21597603025716916,0.006826346021115546,1000.0,9.543635752116101,2.4760090365490264,0.07829828062654018,8.962984054278033,7.884140015383895,10.550415014997578,5.098829856573634,25.564660728253855,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP no within,20,0.925,0.931,0.2535809600567505,0.008014923580421711,1000.0,8.867380389822044,2.3621108541285647,0.0746965038485201,8.28747214738901,7.317745905890275,9.767511599062185,4.694767714796006,24.106444974460295,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP no within,25,0.925,0.962,0.19129190414806527,0.006046155803483734,1000.0,7.6655120811408235,2.376317161392641,0.07514574672946685,7.317183940020462,5.944926150947116,9.07345110356679,3.1472122403615863,19.00446308774773,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP no within,30,0.925,0.939,0.239450070654273,0.007568289106528638,1000.0,6.784365289573716,2.0791513461069053,0.0657485385390288,6.4678485831326125,5.318284430856364,8.046567657103923,2.6618671078731015,18.298186291218265,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,10,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,15,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,20,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,25,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,HCP,30,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,Std-CP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,Std-CP,5,0.925,0.742,0.43775292989039793,0.013836039895866157,1000.0,6.034124790745442,4.54746818151029,0.14380357040716515,4.902930869220059,3.2462428274559834,7.382862742887683,0.3538496551571271,43.91549944747069,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,10,0.925,0.835,0.3713662786426804,0.011737759581794136,1000.0,137.04013172336374,1752.9065521989633,55.431772303815585,11.806570962366255,7.016107984770541,26.1625640061621,0.8117672417069435,43402.414195513615,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,15,0.925,0.885,0.31918157352340515,0.010088359628799917,1000.0,8.840995647566876,5.749274451409878,0.1818080215987027,7.196763526391392,5.343313281589621,10.534834574027638,1.8550163325089013,52.74785830436193,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,20,0.925,0.903,0.296105857217784,0.009359006357514668,1000.0,6.888422602296429,2.8480163062391664,0.09006218341015382,6.415706931852802,4.864481873626027,8.167949937730022,1.5224146158902825,23.544391596449632,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,25,0.925,0.928,0.2586172517116421,0.00817410545564467,1000.0,6.649066485469926,2.394866471961052,0.07573232743368698,6.335203630809428,4.868852267081452,8.007193372282972,1.7561574436491978,17.3323114140137,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,30,0.925,0.938,0.24127621974453717,0.00762600813007697,1000.0,6.378533212730709,2.208472569349519,0.06983803469148646,5.999773989661955,4.784700165262454,7.688805396967273,1.9076629461032315,16.564436564747627,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,0,0.9,0.975,0.15620307103062794,0.004937104414532877,1000.0,11.77371203499989,2.7812183926153256,0.08794984791016854,11.180353598256461,9.897369780679696,13.166141167557585,6.853952818490424,30.90896685190932,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,5,0.9,0.972,0.16505527329729044,0.005216895628628201,1000.0,8.528122287830518,1.5045206202792578,0.0475771194677177,8.242356815893224,7.512778865351216,9.17382633840343,5.6926479250487105,16.898814618027526,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,10,0.9,0.96,0.19605723255834875,0.00619677335393187,1000.0,6.752282768986921,0.8733920577113466,0.027619081926690835,6.6296666347742645,6.145999400649599,7.216262047382426,4.706292147800482,12.186415548679689,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,15,0.9,0.93,0.25527468571161765,0.008068457101577721,1000.0,5.784725657101364,0.6664667947873435,0.0210755305640004,5.716620338162199,5.343706237353125,6.165504030113265,3.824215665726592,8.965958698850187,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,20,0.9,0.895,0.30670681288336105,0.009694070352540258,1000.0,4.982598564450113,0.524887906263437,0.01659841300069421,4.926848158333543,4.607271434135429,5.318988683480931,3.324508774340432,7.0973604494810445,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,25,0.9,0.925,0.26352313834736496,0.00832916562447884,1000.0,5.673477151544219,1.7240702305257976,0.05451988774553078,5.410469954437762,4.482911717167316,6.611757386928902,1.8762993856728445,14.310482894105071,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,30,0.9,0.935,0.2466492161670818,0.0077958322198467015,1000.0,5.7744715978674375,1.71994739161011,0.05438951213153526,5.4903767216895965,4.570769437379184,6.803477268411825,2.1272904368150547,13.932775565488155,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,0,0.9,0.975,0.15620307103062794,0.004937104414532877,1000.0,11.77371203499989,2.7812183926153256,0.08794984791016854,11.180353598256461,9.897369780679696,13.166141167557585,6.853952818490424,30.90896685190932,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,5,0.9,0.958,0.20068950215762726,0.006343185319695463,1000.0,10.208431379781572,2.5580357829549802,0.08089219410349863,9.66896115615522,8.497725905947933,11.42556005261669,5.9715886817131665,26.867515745128635,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,10,0.9,0.941,0.2357426023750789,0.007451107300260817,1000.0,9.331384919986311,2.4221513923701634,0.07659515237637902,8.763735509245013,7.684140363895207,10.30987571215552,5.0759088849786895,25.089469211419733,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,15,0.9,0.921,0.2698737331268677,0.008529888627643386,1000.0,8.69632739587259,2.3139586938707697,0.07317379884179936,8.125587487318857,7.167093264812802,9.59338531346794,4.676851640651439,23.54511416058471,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,20,0.9,0.908,0.28917057184232914,0.009139803061335619,1000.0,8.191038615457925,2.1983123806966316,0.06951674131548524,7.623634103334541,6.736937762209073,8.974651694680276,4.534652916082686,22.161972361000885,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,25,0.9,0.931,0.2535809600567505,0.008014923580421711,1000.0,6.58217314446355,2.087097762920823,0.0659998263027192,6.209850683044792,5.147711242365581,7.818754628498953,2.6618671078731015,18.298186291218265,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,30,0.9,0.912,0.28343665312788385,0.008958571314668425,1000.0,6.164222773809384,1.997553172179719,0.06316817771382406,5.75374366479113,4.790929264766698,7.260573293563743,2.3608578583499007,16.685285538415116,1000.0,1000.0,0.0,1.0,0.0
