o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.926,0.917,0.834,0.83,0.924,0.9,1.0,0.894
5,0.899,,0.834,,,1.0,0.775,
10,0.881,,0.834,,,1.0,0.791,
15,0.868,,0.834,,,1.0,0.802,
20,0.849,,0.834,,,1.0,0.853,
