tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
0.0,0.1,0,0,12.993447785620617,1.785305796991587e-15,3.570611593983174e-15,1.3740046725452814e-16,100,True
0.0,0.1,0,1,9.854636938063736,3.570611593983174e-15,1.785305796991587e-15,3.6232807118358803e-16,100,True
0.0,0.1,0,2,9.143162623192065,7.141223187966347e-15,3.570611593983174e-15,7.810451899709512e-16,100,True
0.0,0.1,0,3,16.136375233965083,3.570611593983174e-15,0.0,2.2127717918132418e-16,100,True
0.0,0.1,0,4,8.126269408473062,0.0,1.785305796991587e-15,0.0,100,True
0.0,0.1,0,5,13.563854692497003,0.0,0.0,0.0,100,True
0.0,0.1,0,6,10.252957496607978,7.141223187966347e-15,1.785305796991587e-15,6.965037346862018e-16,100,True
0.0,0.1,0,7,10.048754141959535,1.785305796991587e-15,0.0,1.776643921993147e-16,100,True
0.0,0.1,0,8,9.032725184440851,0.0,1.785305796991587e-15,0.0,100,True
0.0,0.1,0,9,10.19974740774367,0.0,1.785305796991587e-15,0.0,100,True
0.0,0.1,0,10,10.145639747149149,1.785305796991587e-15,1.785305796991587e-15,1.7596778926565422e-16,100,True
0.0,0.1,0,11,9.15337728615919,3.570611593983174e-15,1.785305796991587e-15,3.900867933612101e-16,100,True
0.0,0.1,0,12,10.048993620366886,1.3389793477436902e-15,0.0,1.3324511869824477e-16,100,True
0.0,0.1,0,13,11.374337892790921,3.570611593983174e-15,0.0,3.139181926577225e-16,100,True
0.0,0.1,0,14,9.528818826477321,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,15,10.714975084494624,3.570611593983174e-15,3.570611593983174e-15,3.3323564131755357e-16,100,True
0.0,0.1,0,16,18.45459498203031,1.4282446375932695e-14,3.570611593983174e-15,7.739235886693726e-16,100,True
0.0,0.1,0,17,10.962323396925512,8.926528984957934e-16,0.0,8.142917027481112e-17,100,True
0.0,0.1,0,18,13.340207589991223,1.0711834781949522e-14,0.0,8.029736201396375e-16,100,True
0.0,0.1,0,19,13.961380303088246,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,20,12.17146754443861,0.0,1.785305796991587e-15,0.0,100,True
