tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.1,0,Donor-HCP-no-within,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,0,Donor-HCP-within,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,0,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,0,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,0,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,0,S-HCP-within,0.914,0.28039208966158297,9.667408113870778,9.176456999249087,3.1336498636183983,0.0,0,12345
0.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.1,0,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,5,Donor-HCP-no-within,0.9572,0.20242617239639302,10.002971601739134,9.700163520085297,2.202515857496356,0.0,0,12345
0.0,0.1,5,Donor-HCP-within,0.9682,0.17548481126239024,9.668890134649544,9.45731080510619,1.9301611703001136,0.0,0,12345
0.0,0.1,5,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,5,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,5,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,5,S-HCP-within,0.9086,0.2882059203599158,8.773535486531177,8.285235979548673,2.3055838636320396,0.0,0,12345
0.0,0.1,5,Std-CP,0.7524,0.4316613328771288,5.920361825615223,4.816592965543224,4.322469683776907,0.0,0,12345
0.0,0.1,5,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,10,Donor-HCP-no-within,0.9374,0.2422663381399059,9.089502727815198,8.818219191517805,1.993567313401304,0.0,0,12345
0.0,0.1,10,Donor-HCP-within,0.9592,0.19784637635733313,7.975154026673889,7.8080466465208165,1.387428327000497,0.0,0,12345
0.0,0.1,10,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,10,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,10,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,10,S-HCP-within,0.9048,0.2935203414384898,8.684577708236356,8.209884383320642,2.202394719732561,0.0,0,12345
0.0,0.1,10,Std-CP,0.8322,0.3737259613926281,44.41038952701373,12.101952204332413,310.0260888419793,0.0,0,12345
0.0,0.1,10,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,15,Donor-HCP-no-within,0.9176,0.2750006637683162,8.513050998199189,8.177033439317196,1.9409489899442953,0.0,0,12345
0.0,0.1,15,Donor-HCP-within,0.9336,0.24900490093196478,6.82209788098796,6.665374925927914,1.0524388508380909,0.0,0,12345
0.0,0.1,15,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,15,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,15,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,15,S-HCP-within,0.908,0.2890548573231533,8.635004203007025,8.117252299992472,2.1434432399862215,0.0,0,12345
0.0,0.1,15,Std-CP,0.8904,0.31242176856341897,9.144485925517571,7.558974207584292,6.3632259107429805,0.0,0,12345
0.0,0.1,15,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,20,Donor-HCP-no-within,0.8978,0.3029414377448891,7.995327811404641,7.698700948566387,1.8406361952263932,0.0,0,12345
0.0,0.1,20,Donor-HCP-within,0.9108,0.285060716203381,5.7884942571047375,5.717577704540709,0.7738120721186477,0.0,0,12345
0.0,0.1,20,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,20,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,20,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
