tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.1,0,Donor-HCP-no-within,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,0,Donor-HCP-within,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,0,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,0,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,0,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,0,S-HCP-within,0.9124,0.282740567385879,9.708627010426149,9.162546405524786,3.1187986035906428,0.0,0,12345
0.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.1,0,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,5,Donor-HCP-no-within,0.9572,0.20242617239639288,10.002971601739134,9.700163520085297,2.2025158574963557,0.0,0,12345
0.0,0.1,5,Donor-HCP-within,0.9696,0.17170246459288044,9.879186107880082,9.721780054057799,1.881747308519888,0.0,0,12345
0.0,0.1,5,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,5,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,5,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,5,S-HCP-within,0.9064,0.29130055132498545,8.747991380687884,8.257272139099143,2.2913130777087947,0.0,0,12345
0.0,0.1,5,Std-CP,0.744,0.4364654630323966,5.947411248531325,4.914897477850362,4.478526678208702,0.0,0,12345
