w_local,o,n,coverage_mean,coverage_se,width_mean,width_se,finite_rate
0.1428571428571429,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.1428571428571429,5,1000,0.948,0.007021111023192843,19.850500037382623,0.14719011277984542,1.0
0.1428571428571429,10,1000,0.943,0.007331507348424336,18.92561149130564,0.14007232822512442,1.0
0.1428571428571429,15,1000,0.931,0.008014923580421711,17.854263211902186,0.13632620075435378,1.0
0.1428571428571429,20,1000,0.915,0.008819013550278736,17.257013342315688,0.13285943762127456,1.0
0.2857142857142857,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.2857142857142857,5,1000,0.951,0.006826346021115546,17.060541462624833,0.12176349070507261,1.0
0.2857142857142857,10,1000,0.946,0.0071473071852271785,16.149625813011244,0.11494743685101132,1.0
0.2857142857142857,15,1000,0.93,0.008068457101577721,15.140825000451064,0.1113705677567466,1.0
0.2857142857142857,20,1000,0.914,0.008865889690267975,14.633595134112314,0.10843609036092842,1.0
0.4285714285714286,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.4285714285714286,5,1000,0.953,0.00669260786241059,14.359761520940541,0.0966827201773229,1.0
0.4285714285714286,10,1000,0.945,0.007209368904418752,13.45101043730916,0.09060348473711473,1.0
0.4285714285714286,15,1000,0.928,0.00817410545564467,12.524361045754802,0.086871331776745,1.0
0.4285714285714286,20,1000,0.911,0.009004387819280108,12.07230150719429,0.08461262723987344,1.0
0.5714285714285715,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.5714285714285715,5,1000,0.951,0.006826346021115546,11.821874828061766,0.07286257788910762,1.0
0.5714285714285715,10,1000,0.947,0.007084560677981384,10.912935705744342,0.06673477209096086,1.0
0.5714285714285715,15,1000,0.933,0.007906389820898028,10.0640392917733,0.062326343181405314,1.0
0.5714285714285715,20,1000,0.906,0.009228434320078352,9.668028415714762,0.061103708252034754,1.0
0.7142857142857143,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.7142857142857143,5,1000,0.962,0.006046155803483734,9.656617261830183,0.05151688073762406,1.0
0.7142857142857143,10,1000,0.947,0.007084560677981384,8.650350588734323,0.044357066147749855,1.0
0.7142857142857143,15,1000,0.927,0.008226238508577293,7.868396716135074,0.04026198684409301,1.0
0.7142857142857143,20,1000,0.901,0.009444522221901962,7.494295671132864,0.03830899134683088,1.0
0.8571428571428572,0,1000,0.953,0.00669260786241059,24.257071242717263,0.1801108922744289,1.0
0.8571428571428572,5,1000,0.977,0.004740358636221528,8.122894290716586,0.036101107640253635,1.0
0.8571428571428572,10,1000,0.959,0.006270486424512857,6.982631152818395,0.026662069099706996,1.0
0.8571428571428572,15,1000,0.931,0.008014923580421711,6.248915111839249,0.022744919776709217,1.0
0.8571428571428572,20,1000,0.911,0.009004387819280108,5.8884229726702415,0.021224510156629732,1.0
