o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,138229.3583816836,137942.5242781789,135000.0,100491.290008203,127022.24683875244,117693.07236615944,,117081.76253339896
5,120482.0912668481,,135000.0,,,102840.74222606944,,
10,115596.2559641618,,135000.0,,,96494.40345133375,111980.4,
15,112701.99627893207,,135000.0,,,97212.17937229804,133345.14285714284,
20,106464.51449489439,,135000.0,,,96826.52162683534,98144.2,
