o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.857,0.858,0.835,0.78,0.838,0.806,1.0,0.808
5,0.855,,0.835,,,0.819,1.0,
10,0.854,,0.835,,,0.807,0.834,
15,0.838,,0.835,,,0.814,0.902,
20,0.834,,0.835,,,0.797,0.822,
