o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,192601.0295900873,186329.63780416307,132000.0,136388.87364627465,154966.14927491563,137139.67965902545,,137340.27257941448
5,165470.34889409735,,132000.0,,,130559.55948633078,97180.30587336705,
10,142451.4717559531,,132000.0,,,128366.7492238223,108211.87512392977,
15,136178.586170555,,132000.0,,,128023.7327337139,113906.64556681775,
20,130855.66496522713,,132000.0,,,133607.42253058762,129804.13765303066,
