tau_B,alpha,o,Donor-HCP-no-within,Donor-HCP-within,Pooling,S-HCP-within,Std-CP
5.0,0.05,0,,,31.606752203247215,,
5.0,0.05,5,,,31.606752203247215,31.517651635738567,6.189973106257634
5.0,0.05,10,37.5711398985563,,31.606752203247215,31.315419226539042,111.8001930453512
5.0,0.05,15,33.5104972040704,24.007060348126608,31.606752203247215,31.511811938043376,9.119620108037571
5.0,0.05,20,31.755349118215598,17.444719655265946,31.606752203247215,30.843494218960554,6.90480414043388
5.0,0.05,25,16.345218589949468,,31.606752203247215,,6.771804872210265
5.0,0.05,30,16.59283057936017,,31.606752203247215,,6.477355191378299
5.0,0.05,35,16.791462221628976,,31.606752203247215,,6.508334492093624
