tau_B,alpha,o,Donor-HCP-no-within,Donor-HCP-within,HCP,Pooling,Repeated,S-HCP-within,Std-CP,Subsampling
5.0,0.1,0,33.915909916646115,33.915909916646115,33.915909916646115,27.161634981394872,30.252456659882206,32.00953544118868,,30.491446262131348
5.0,0.1,5,33.4263466051119,29.39127554583327,33.915909916646115,27.161634981394872,30.252456659882206,30.01956895902285,6.283467888188258,30.491446262131348
5.0,0.1,10,31.811832636509916,23.119530174888183,33.915909916646115,27.161634981394872,30.252456659882206,29.647209625955554,57.075515926511855,30.491446262131348
5.0,0.1,15,30.32854858084906,19.35659294105035,33.915909916646115,27.161634981394872,30.252456659882206,29.37567053040765,9.296530090284913,30.491446262131348
5.0,0.1,20,27.240945352420198,15.086360708616098,33.915909916646115,27.161634981394872,30.252456659882206,28.093870015012566,6.960195716235156,30.491446262131348
5.0,0.1,25,15.157596997814474,6.022473797704823,33.915909916646115,27.161634981394872,30.252456659882206,15.702452396142148,6.779082187423937,30.491446262131348
5.0,0.1,30,14.619424811886967,6.0551935663777146,33.915909916646115,27.161634981394872,30.252456659882206,15.9007192395436,6.463001150458467,30.491446262131348
5.0,0.1,35,14.912922389987855,6.239002845470169,33.915909916646115,27.161634981394872,30.252456659882206,16.16755097852429,6.5360125502379836,30.491446262131348
