tau_B,alpha,o,Donor-HCP-no-within,Donor-HCP-within,HCP,Pooling,Repeated,S-HCP-within,Std-CP,Subsampling
5.0,0.05,0,1.0,1.0,1.0,0.9072,1.0,1.0,1.0,1.0
5.0,0.05,5,1.0,1.0,1.0,0.9072,1.0,0.9604,0.7628,1.0
5.0,0.05,10,0.993,1.0,1.0,0.9072,1.0,0.9602,0.8402,1.0
5.0,0.05,15,0.9684,0.9824,1.0,0.9072,1.0,0.9652,0.8894,1.0
5.0,0.05,20,0.9444,0.9494,1.0,0.9072,1.0,0.957,0.9126,1.0
5.0,0.05,25,0.9624,1.0,1.0,0.9072,1.0,1.0,0.9344,1.0
5.0,0.05,30,0.9672,1.0,1.0,0.9072,1.0,1.0,0.9418,1.0
5.0,0.05,35,0.9704,1.0,1.0,0.9072,1.0,1.0,0.9494,1.0
