tau_B,alpha,o,Donor-HCP-no-within,Donor-HCP-within,HCP,Pooling,Repeated,S-HCP-within,Std-CP,Subsampling
0.0,0.1,0,0.9712,0.9712,0.9712,0.8884,0.9284,0.914,1.0,0.9026
0.0,0.1,5,0.9572,0.9682,0.9712,0.8884,0.9284,0.9086,0.7524,0.9026
0.0,0.1,10,0.9374,0.9592,0.9712,0.8884,0.9284,0.9048,0.8322,0.9026
0.0,0.1,15,0.9176,0.9336,0.9712,0.8884,0.9284,0.908,0.8904,0.9026
0.0,0.1,20,0.8978,0.9108,0.9712,0.8884,0.9284,0.8998,0.912,0.9026
0.0,0.1,25,0.9228,0.9294,0.9712,0.8884,0.9284,0.9268,0.9332,0.9026
0.0,0.1,30,0.9022,0.9372,0.9712,0.8884,0.9284,0.9362,0.9368,0.9026
0.0,0.1,35,0.915,0.948,0.9712,0.8884,0.9284,0.948,0.9528,0.9026
