alpha,o,Donor-HCP-derandomized,Donor-HCP-within,HCP,Pooling,Repeated,S-HCP-derandomized,S-HCP-within,Std-CP,Subsampling
0.1,0.0,1.0,0.982,0.982,0.885,0.962,1.0,0.914,1.0,0.955
0.1,5.0,1.0,0.96,0.982,0.885,0.962,0.961,0.909,0.739,0.955
0.1,10.0,0.984,0.937,0.982,0.885,0.962,0.951,0.911,0.845,0.955
0.1,15.0,0.961,0.916,0.982,0.885,0.962,0.946,0.908,0.888,0.955
0.1,20.0,0.951,0.907,0.982,0.885,0.962,0.944,0.889,0.91,0.955
