tau_B,alpha,o,Donor-HCP-no-within,Donor-HCP-within,HCP,Pooling,Repeated,S-HCP-within,Std-CP,Subsampling
5.0,0.1,0,33.915909916646115,33.915909916646115,33.915909916646115,27.161634981394872,30.26494329061254,32.015021096416376,,30.26464546934151
5.0,0.1,5,33.4263466051119,29.447944729043623,33.915909916646115,27.161634981394872,30.26494329061254,30.01000279051701,6.316624918541044,30.26464546934151
5.0,0.1,10,31.811832636509916,68.22376326964171,33.915909916646115,27.161634981394872,30.26494329061254,29.628872445688884,51.80423957243809,30.26464546934151
5.0,0.1,15,30.32854858084906,19.58305109598639,33.915909916646115,27.161634981394872,30.26494329061254,29.384396431633782,9.079985527015397,30.26464546934151
5.0,0.1,20,27.240945352420198,15.217279383658644,33.915909916646115,27.161634981394872,30.26494329061254,28.105570499033607,6.929745909421155,30.26464546934151
5.0,0.1,25,15.157596997814474,6.792419958035479,33.915909916646115,27.161634981394872,30.26494329061254,15.702452396142148,6.764688578293661,30.26464546934151
5.0,0.1,30,14.619424811886967,6.501108744257307,33.915909916646115,27.161634981394872,30.26494329061254,15.9007192395436,6.479038139922111,30.26464546934151
5.0,0.1,35,14.912922389987855,6.548866278343777,33.915909916646115,27.161634981394872,30.26494329061254,16.16755097852429,6.524175975088874,30.26464546934151
