dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.1,GHCP,10,0.9,0.918,0.27450200609713465,0.008676174272108645,1000.0,21.215876595712498,5.098853020352938,0.16123988998744163,20.491515122929588,17.670917751029254,24.31123094239323,10.077910866166196,39.159454275320286,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,15,0.9,0.91,0.28632495871296654,0.009049861877399012,1000.0,17.54266993994895,4.135230522107411,0.13076747099706687,17.03801435216583,14.67919454023334,20.026408253186233,8.163581274880162,32.64609456023035,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,20,0.9,0.893,0.3092679204939411,0.009775019181566856,1000.0,13.569281745483705,2.969424846279913,0.09390145854939892,13.238104995782477,11.508462642719326,15.250845274735447,6.630399080766974,24.049273353246477,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,25,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,11.985220683556962,5.7472255646543395,0.18174323011055019,10.915603024344552,7.538904808340171,15.450734117024307,2.6458055278325254,37.84794085589196,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,30,0.9,0.931,0.2535809600567505,0.008014923580421711,1000.0,11.548822586640446,5.303825614128807,0.16772169252988361,10.428029250287423,7.531476487422415,14.671666037497294,2.5573001337737216,32.88341868275124,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,35,0.9,0.944,0.2300367729666649,0.007270763371201131,1000.0,11.379502864187605,5.06559883752517,0.16018830039280757,10.264318714305372,7.575174430612712,14.17262993413473,3.105916981061611,31.906253431668276,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,0,0.9,0.924,0.2651307117146075,0.008379976133617564,1000.0,34.14986345084803,8.458708027268901,0.2674878342851939,33.31706004200889,28.27214680419885,39.3747913185516,15.604522554575423,62.63024231511574,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,5,0.9,0.917,0.27602026589942125,0.008724161850859943,1000.0,32.16178035720727,8.192987174507888,0.25908500311992344,31.174668063778945,26.27249080477737,36.939853095552266,15.002097850560222,59.15654383434059,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,10,0.9,0.904,0.2947386484173239,0.009315793041926167,1000.0,30.799175853826107,7.943399135242883,0.25119233631179394,29.86058642602358,25.184706720749684,35.54900450272798,12.622181279866592,57.93339523159417,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,15,0.9,0.896,0.305413289293831,0.009653186002558947,1000.0,29.471049691625797,7.614189769300606,0.24078182207741933,28.455884943586586,24.181911559056463,33.98094249381146,12.19682991700165,56.09809073540462,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,20,0.9,0.892,0.3105357184486713,0.009815090422405694,1000.0,26.675946528533604,6.326818660314608,0.2000715730944932,25.970959458670375,22.308468005240165,30.220070623003238,11.866673811151069,50.65086025265656,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,25,0.9,0.919,0.272971634998059,0.008627803892068941,1000.0,15.893197130130446,8.941415930092875,0.2827523984600637,14.008005173323197,8.95564495598871,21.1350880485578,3.079162693987744,51.22085966767517,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,30,0.9,0.904,0.2947386484173239,0.009315793041926167,1000.0,15.453274009945227,8.89853450382464,0.2813963686968218,13.420396598583046,8.529323560267601,20.560997049514,2.899260775554999,50.979742340328485,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,35,0.9,0.913,0.2819760814510878,0.008912407082264588,1000.0,15.680128505163172,8.900149259277704,0.2814474317477803,13.536173135236947,8.80973692348256,20.758909338746157,3.079162693987744,50.979742340328485,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,0,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,5,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,10,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,15,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,20,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,25,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,30,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,HCP,35,0.9,0.926,0.2619018758859749,0.008277922444671728,1000.0,33.535592022747856,8.214496527292042,0.25976518857786357,32.744879006383755,27.832475110798764,38.34549665994964,15.41594249184411,63.32261224482683,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,Std-CP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.1,Std-CP,5,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
