dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean25,GHCP no within,35,0.1,0.9,0.961,0.006122009474020767,0.19369180807797864,1000.0
poissonNmean25,GHCP no within,35,0.05,0.95,0.978,0.004638534251247911,0.1467567291047928,1000.0
poissonNmean25,HCP,0,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,0,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,0,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,5,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,5,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,5,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,10,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,10,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,10,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,15,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,15,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,15,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,20,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,20,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,20,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,25,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,25,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,25,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,30,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,30,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,30,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,35,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,35,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,35,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
poissonNmean25,Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
poissonNmean25,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean25,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,Std-CP,5,0.2,0.8,0.78,0.01309961831505025,0.4144535821678609,1000.0
poissonNmean25,Std-CP,5,0.15,0.85,0.853,0.011197812286335219,0.3542831022170216,1000.0
poissonNmean25,Std-CP,5,0.1,0.9,0.875,0.010458250331675944,0.33088439746304826,1000.0
